             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.108308308308E+01      0.233539312815E-01      0.469121429154E-02      0.870234758708E-01      0.383562071480E-01
     -0.107907907908E+01      0.476704536811E-01      0.726021718293E-03      0.776283336869E-01      0.420082696954E-01
     -0.107507507508E+01      0.815966523706E-01      0.346368541113E-03      0.655176065666E-01      0.491535424928E-01
     -0.107107107107E+01      0.125919696900E+00      0.467144288531E-02      0.513121384830E-01      0.606344260893E-01
     -0.106706706707E+01      0.181502675341E+00      0.149842563693E-01      0.360731992856E-01      0.775200436652E-01
     -0.106306306306E+01      0.249275814771E+00      0.327251669420E-01      0.213185403557E-01      0.101106507356E+00
     -0.105905905906E+01      0.330210397261E+00      0.594725210540E-01      0.898364240945E-02      0.132888853575E+00
     -0.105505505506E+01      0.425278625978E+00      0.969088932340E-01      0.132989689579E-02      0.174505805369E+00
     -0.105105105105E+01      0.535406657449E+00      0.146774461197E+00      0.814956239606E-03      0.227665358295E+00
     -0.104704704705E+01      0.661430070518E+00      0.210811795133E+00      0.995061793452E-02      0.294064161195E+00
     -0.104304304304E+01      0.804060555587E+00      0.290707940116E+00      0.311767447939E-01      0.375315080166E+00
     -0.103903903904E+01      0.963869598401E+00      0.388039701614E+00      0.667745293880E-01      0.472894609801E+00
     -0.103503503504E+01      0.114129004374E+01      0.504226516647E+00      0.118830366722E+00      0.588115642369E+00
     -0.103103103103E+01      0.133663080284E+01      0.640492617637E+00      0.189246408229E+00      0.722123276236E+00
     -0.102702702703E+01      0.155009506483E+01      0.797837117357E+00      0.279780048222E+00      0.875904076804E+00
     -0.102302302302E+01      0.178178966416E+01      0.977008139146E+00      0.392085936028E+00      0.105029457978E+01
     -0.101901901902E+01      0.203171390373E+01      0.117847618416E+01      0.527732685902E+00      0.124597425793E+01
     -0.101501501502E+01      0.229972061018E+01      0.140240323942E+01      0.688172432121E+00      0.146343209390E+01
     -0.101101101101E+01      0.258544997877E+01      0.164860765819E+01      0.874653395665E+00      0.170290367754E+01
     -0.100700700701E+01      0.288824619874E+01      0.191652965544E+01      0.108808133273E+01      0.196428572897E+01
     -0.100300300300E+01      0.320707534813E+01      0.220520666397E+01      0.132885203274E+01      0.224704468161E+01
     -0.998998998999E+00      0.354046768422E+01      0.251326986992E+01      0.159669021549E+01      0.255014258988E+01
     -0.994994994995E+00      0.388650590437E+01      0.283897157909E+01      0.189053629226E+01      0.287200459191E+01
