             #Energy(eV)                XX(uV/K)                YY(uV/K)                ZZ(uV/K)           Average(uV/K)
     -0.118718718719E+01      0.114363300620E+02      0.114363300620E+02      0.114363300620E+02      0.114363300620E+02
     -0.118318318318E+01      0.111903938764E+02      0.111903938764E+02      0.111903938764E+02      0.111903938764E+02
     -0.117917917918E+01      0.109829081097E+02      0.109829081097E+02      0.109829081097E+02      0.109829081097E+02
     -0.117517517518E+01      0.108192505709E+02      0.108192505709E+02      0.108192505709E+02      0.108192505709E+02
     -0.117117117117E+01      0.107028357214E+02      0.107028357214E+02      0.107028357214E+02      0.107028357214E+02
     -0.116716716717E+01      0.106354712441E+02      0.106354712441E+02      0.106354712441E+02      0.106354712441E+02
     -0.116316316316E+01      0.106176947099E+02      0.106176947099E+02      0.106176947099E+02      0.106176947099E+02
     -0.115915915916E+01      0.106489870840E+02      0.106489870840E+02      0.106489870840E+02      0.106489870840E+02
     -0.115515515516E+01      0.107278158267E+02      0.107278158267E+02      0.107278158267E+02      0.107278158267E+02
     -0.115115115115E+01      0.108515271858E+02      0.108515271858E+02      0.108515271858E+02      0.108515271858E+02
     -0.114714714715E+01      0.110161662714E+02      0.110161662714E+02      0.110161662714E+02      0.110161662714E+02
     -0.114314314314E+01      0.112163380412E+02      0.112163380412E+02      0.112163380412E+02      0.112163380412E+02
     -0.113913913914E+01      0.114452223458E+02      0.114452223458E+02      0.114452223458E+02      0.114452223458E+02
     -0.113513513514E+01      0.116948207756E+02      0.116948207756E+02      0.116948207756E+02      0.116948207756E+02
     -0.113113113113E+01      0.119564506853E+02      0.119564506853E+02      0.119564506853E+02      0.119564506853E+02
     -0.112712712713E+01      0.122214285335E+02      0.122214285335E+02      0.122214285335E+02      0.122214285335E+02
     -0.112312312312E+01      0.124818207222E+02      0.124818207222E+02      0.124818207222E+02      0.124818207222E+02
     -0.111911911912E+01      0.127311049031E+02      0.127311049031E+02      0.127311049031E+02      0.127311049031E+02
     -0.111511511512E+01      0.129645913185E+02      0.129645913185E+02      0.129645913185E+02      0.129645913185E+02
     -0.111111111111E+01      0.131795039467E+02      0.131795039467E+02      0.131795039467E+02      0.131795039467E+02
     -0.110710710711E+01      0.133747032984E+02      0.133747032984E+02      0.133747032984E+02      0.133747032984E+02
     -0.110310310310E+01      0.135501238469E+02      0.135501238469E+02      0.135501238469E+02      0.135501238469E+02
     -0.109909909910E+01      0.137060724505E+02      0.137060724505E+02      0.137060724505E+02      0.137060724505E+02
     -0.109509509510E+01      0.138425681053E+02      0.138425681053E+02      0.138425681053E+02      0.138425681053E+02
     -0.109109109109E+01      0.139588888509E+02      0.139588888509E+02      0.139588888509E+02      0.139588888509E+02
     -0.108708708709E+01      0.140534342514E+02      0.140534342514E+02      0.140534342514E+02      0.140534342514E+02
     -0.108308308308E+01      0.141239287462E+02      0.141239287462E+02      0.141239287462E+02      0.141239287462E+02
