#K-Path     Energy-Level
#Band-index    1
  2.158       -7.7788
  2.189       -7.7790
  2.221       -7.7794
  2.252       -7.7799
  2.284       -7.7805
  2.315       -7.7812
  2.346       -7.7820
  2.378       -7.7829
  2.409       -7.7839
  2.441       -7.7849
  2.472       -7.7859
  2.504       -7.7869
  2.535       -7.7879
  2.566       -7.7887
  2.598       -7.7895
  2.629       -7.7901
  2.661       -7.7906
  2.692       -7.7908
  2.723       -7.7909
#Band-index   12
  2.723       -7.7909
  2.692       -7.7907
  2.661       -7.7900
  2.629       -7.7889
  2.598       -7.7875
  2.566       -7.7858
  2.535       -7.7839
  2.504       -7.7819
  2.472       -7.7798
  2.441       -7.7778
  2.409       -7.7760
  2.378       -7.7743
  2.346       -7.7730
  2.315       -7.7719
  2.284       -7.7713
  2.252       -7.7709
  2.221       -7.7710
  2.189       -7.7714
  2.158       -7.7720
  2.126       -7.7728
  2.095       -7.7738
  2.064       -7.7749
  2.032       -7.7760
  2.001       -7.7770
  1.969       -7.7778
  1.938       -7.7784
  1.907       -7.7789
  1.875       -7.7790
  1.875       -7.7790
  1.844       -7.7789
  1.812       -7.7785
  1.781       -7.7779
  1.749       -7.7771
  1.718       -7.7763
  1.686       -7.7754
  1.655       -7.7746
  1.623       -7.7739
  1.592       -7.7735
  1.560       -7.7732
  1.529       -7.7732
  1.497       -7.7734
  1.466       -7.7739
  1.434       -7.7742
  1.403       -7.7738
  1.371       -7.7734
  1.340       -7.7731
  1.308       -7.7729
  1.277       -7.7727
  1.245       -7.7725
  1.214       -7.7724
  1.182       -7.7724
  1.182       -7.7724
  1.150       -7.7726
  1.117       -7.7732
  1.085       -7.7742
  1.052       -7.7755
  1.019       -7.7770
  0.987       -7.7788
  0.954       -7.7807
  0.921       -7.7827
  0.889       -7.7846
  0.856       -7.7863
  0.823       -7.7879
  0.791       -7.7892
  0.758       -7.7901
  0.725       -7.7907
  0.693       -7.7909
  0.693       -7.7909
  0.661       -7.7907
  0.630       -7.7900
  0.598       -7.7889
  0.567       -7.7875
  0.535       -7.7858
  0.504       -7.7840
  0.472       -7.7821
  0.441       -7.7802
  0.409       -7.7785
  0.378       -7.7770
  0.346       -7.7757
  0.315       -7.7747
  0.283       -7.7741
  0.252       -7.7738
  0.220       -7.7737
  0.189       -7.7738
  0.157       -7.7730
  0.126       -7.7722
  0.094       -7.7715
  0.063       -7.7710
  0.031       -7.7707
  0.000       -7.7706
#Band-index   13
  0.000       -6.7624
  0.031       -6.7685
  0.063       -6.7867
  0.094       -6.8163
  0.126       -6.8561
  0.157       -6.9049
