#K-Path     Energy-Level
#Band-index    1
  2.033       10.3799
  1.991       10.6108
  1.949       10.8158
  1.907       10.9930
  1.865       11.1408
  1.823       11.2598
  1.781       11.3465
  1.739       11.3944
  1.697       11.4100
  1.697       11.4100
  1.655       11.3964
  1.614       11.3469
  1.573       11.2627
  1.531       11.1493
  1.490       11.0034
  1.448       10.8312
  1.407       10.6322
  1.366       10.4097
  1.324       10.1629
  1.283       10.2051
  1.241       10.3385
  1.200       10.4840
  1.159       10.6417
  1.117       10.8115
  1.076       10.9934
  1.035       11.1873
  0.993       11.3933
  0.952       11.6112
  0.910       11.8411
  0.869       12.0828
  0.828       12.3362
  0.786       12.6013
  0.745       12.8779
  0.704       13.1657
  0.662       13.4646
  0.621       13.7740
  0.579       14.0934
  0.538       14.4223
  0.497       14.7594
  0.455       14.9653
  0.414       15.1411
  0.372       15.3791
  0.331       15.6584
  0.290       15.9593
  0.248       16.2569
  0.207       16.0967
  0.166       15.8656
  0.124       15.6565
  0.083       15.4688
  0.041       15.2988
  0.000       15.1405
#Band-index   13
  0.000       15.1418
  0.041       15.3379
  0.083       15.6168
  0.124       15.8349
  0.166       16.0055
  0.207       16.2082
  0.248       16.3492
  0.290       16.4156
  0.331       16.1345
  0.372       15.7983
  0.414       15.4511
  0.455       15.1032
  0.497       14.8713
  0.538       14.8699
  0.579       14.9547
  0.621       15.1063
  0.662       15.3008
  0.704       15.5147
  0.745       15.7240
  0.786       15.9043
  0.828       16.0321
  0.869       16.0933
  0.910       16.0878
  0.952       16.0301
  0.993       15.8065
  1.035       15.3946
  1.076       14.9988
  1.117       14.6263
  1.159       14.2802
  1.200       13.9630
  1.241       13.6782
  1.283       13.4266
  1.324       13.2086
  1.366       13.0215
  1.407       12.8639
  1.448       12.7343
  1.490       12.6296
  1.531       12.5475
  1.573       12.4857
  1.614       12.4429
  1.655       12.4175
  1.697       12.4090
  1.697       12.4090
  1.739       12.4177
  1.781       12.4439
  1.823       12.4880
  1.865       12.5510
  1.907       12.6342
  1.949       12.7384
  1.991       12.8641
  2.033       13.0111
  2.075       13.1775
  2.116       13.3630
  2.158       13.5671
  2.200       13.7839
  2.242       14.0138
  2.284       14.2512
  2.326       14.4948
  2.368       14.7390
  2.410       14.9764
  2.452       15.2091
  2.494       15.4210
  2.536       15.6025
  2.578       15.7345
  2.620       15.8090
  2.662       16.0875
  2.704       16.5724
  2.746       16.4490
  2.788       16.1579
  2.830       15.8028
  2.872       15.4122
  2.914       15.0106
  2.956       15.2680
  2.998       15.0258
  3.040       14.6021
  3.082       14.8596
  3.124       15.0902
  3.166       15.1923
  3.166       15.1923
  3.208       15.1804
  3.251       15.1438
  3.293       15.0832
  3.336       15.0027
  3.378       14.9062
  3.421       14.8027
  3.463       14.7030
  3.505       14.6185
  3.548       14.5591
  3.590       14.5313
  3.633       14.5376
  3.675       14.5770
  3.717       14.6464
  3.760       14.7414
  3.802       14.8568
  3.845       14.9857
  3.887       15.1162
  3.930       15.2225
  3.972       15.2394
  4.014       15.1418
#Band-index   14
  4.014       15.6095
  3.972       15.6681
  3.930       15.9090
  3.887       16.2881
  3.845       16.5451
  3.802       16.5821
  3.760       16.6352
  3.717       16.7018
  3.675       16.7746
  3.633       16.8441
  3.590       16.8946
  3.548       16.7685
  3.505       16.6559
  3.463       16.5564
  3.421       16.4701
  3.378       16.3975
  3.336       16.3374
  3.293       16.2909
  3.251       16.2578
  3.208       16.2380
  3.166       16.2313
  3.166       16.2313
  3.124       16.3297
  3.082       16.3964
  3.040       16.0149
  2.998       15.6391
  2.956       15.5186
  2.914       16.0095
  2.872       16.5004
  2.830       16.9837
  2.788       17.4520
  2.746       17.0484
  2.704       16.6465
  2.662       16.7338
  2.620       16.7246
  2.578       16.6483
  2.536       16.5330
  2.494       16.3939
  2.452       16.2426
  2.410       16.0869
  2.368       15.9304
  2.326       15.7769
  2.284       15.6282
  2.242       15.4862
  2.200       15.3518
  2.158       15.2263
  2.116       15.1101
  2.075       15.0037
  2.033       14.9076
  1.991       14.8222
